,review,cleaning,noun
47,"리뷰가 지워진 건가요? 어플을 사용할 수록 어이가 없어서 헛웃음이 나오네요 ㅋㅋ 관리가 안 되어있어도 너무 안 되어 있는 거 아닌가요. 가입은 어찌어찌했는데 기본적으로 앱이 잘 구동되지도 않으면 뭘 볼 수가 없잖아요. 자꾸 쿠폰 발급 창 뜨면서 멤버십 가입하라고 결제유도는 아주 적극적으로 하는 것에 비해 렉도 너무 심하고 카테고리를 보려고 누르면 아무것도 안 뜨고 한참 있다가 떠서 다른 거 보는 와중에 다른 창으로 넘어가고 이것 말고도 짜잘한 것부터 하나하나 적기도 힘들정도로 기본적인게 너무 안 되어있어요. 제 휴대폰 탓을 하기엔 ...
전체 리뷰",리뷰가지워진건가요어플을사용할수록어이가없어서헛웃음이나오네요ㅋㅋ관리가안되어있어도너무안되어있는거아닌가요가입은어찌어찌했는데기본적으로앱이잘구동되지도않으면뭘볼수가없잖아요자꾸쿠폰발급창뜨면서멤버십가입하라고결제유도는아주적극적으로하는것에비해렉도너무심하고카테고리를보려고누르면아무것도안뜨고한참있다가떠서다른거보는와중에다른창으로넘어가고이것말고도짜잘한것부터하나하나적기도힘들정도로기본적인게너무안되어있어요제휴대폰탓을하기엔전체리뷰,"['리뷰', '가요', '어플', '을사', '웃음', '관리', '무안', '가입', '기본', '구동', '자꾸', '쿠폰', '발급', '멤버십', '가입', '결제', '유도', '아주', '적극', '무심', '카테고리', '아무', '도안', '한참', '와중', '적기', '정도', '기본', '휴대폰', '전체', '리뷰']"
48,1. 이용권 구매를 결정하기 위해 옷을 보는데 이용권 사라는 팝업이 가로막고 안사면 못봄 2. 옷을 이것저것 보고 싶은데 뒤로가기만 하면 홈으로 감 3. 잠깐 다른 앱에서 뭐 하고 와도 재구동+홈으로 감 4. 한 아이템 보고 돌아오면 리스트 최상위로 돌아가있음 5. 광고 팝업 오늘은 그만보기 아무리 눌러도 꺼지지도 않음 앱이 너무 쓰기 힘들어서 화가 나서 매번 도전에 실패하네요,1이용권구매를결정하기위해옷을보는데이용권사라는팝업이가로막고안사면못봄2옷을이것저것보고싶은데뒤로가기만하면홈으로감3잠깐다른앱에서뭐하고와도재구동홈으로감4한아이템보고돌아오면리스트최상위로돌아가있음5광고팝업오늘은그만보기아무리눌러도꺼지지도않음앱이너무쓰기힘들어서화가나서매번도전에실패하네요,"['이용권', '구매', '결정', '위해', '이용권', '사라', '팝업', '가로막', '안사면', '못봄', '가기', '만하', '아이템', '보고', '리스트', '최상', '위로', '광고', '팝업', '오늘', '보기', '쓰기', '화가', '도전']"
49,결혼식한번갈려고 옷을사기엔 부담이였는데 저렴한가격에 다양한 옷이랑 가방을 대여할수있어서 넘좋았어요 ^^,결혼식한번갈려고옷을사기엔부담이였는데저렴한가격에다양한옷이랑가방을대여할수있어서넘좋았어요,"['결혼식', '한번', '사기', '부담', '가격', '가방', '대여']"
50,"의도가 정말 좋아요. 합리적인 가격에 옷을 구매가 아니라 대여 할 수 있어서 더 다양하게, 사기에는 부담스러웠던 옷등을 입을 수 있어서 좋습니다. 그렇지만 이 점도 사용을 할 수 있어야 좋은 거죠ㅠ 영상이 많아서인지 로딩이 너무 느립니다. 한번 들어가면 계속 기다려야 하고 공지를 지우다가 엉뚱한 옷을 클릭하게되고, 나가느라 또 로딩이 걸리고. 악순환의 반복입니다. 거기에 렉도 너무 많아서 사용하기가 꺼려집니다. 이런 점이 개선되면 좋을 것 같습니다. 현재로서는 사용하기 힘들고 스트레스받아 안들어가게 됩닏다:(",의도가정말좋아요합리적인가격에옷을구매가아니라대여할수있어서더다양하게사기에는부담스러웠던옷등을입을수있어서좋습니다그렇지만이점도사용을할수있어야좋은거죠ㅠ영상이많아서인지로딩이너무느립니다한번들어가면계속기다려야하고공지를지우다가엉뚱한옷을클릭하게되고나가느라또로딩이걸리고악순환의반복입니다거기에렉도너무많아서사용하기가꺼려집니다이런점이개선되면좋을것같습니다현재로서는사용하기힘들고스트레스받아안들어가게됩닏다,"['의도', '정말', '합리', '가격', '구매', '대여', '사기', '옷등', '점도', '사용', '영상', '인지', '로딩', '한번', '계속', '공지', '클릭', '로딩', '악순환', '반복', '서사', '개선', '현재', '스트레스']"
51,"월정액이 다음 달로 넘어갈 때 자동 결제되는데 월정액을 끊는 방법은 없네요. 그 외에도 뒤로가기 한 번만 누르면 계속 홈 화면만 나온다거나, 옷을 색상별로 필터링 해서 보려 했는데 색상필터링 버튼만 있고 실제로는 전혀 필터링 되지 않고요, 또 다른 사람이 대여중인 옷은 대여든 구매든 가격 확인이 아예 불가능합니다. 저번 달에 월정액 한 번 결제해서 잘 쓰긴 했는데 이번 달에 자동결제되어서 깜짝 놀랐네요. 결국 1:1 상담까지 가서 결제취소해달라고 했긴 했는데 아직 응답도 없습니다. 어떻게 운영을 하는건지 모르겠네요. 앱이 너무 불친...
전체 리뷰",월정액이다음달로넘어갈때자동결제되는데월정액을끊는방법은없네요그외에도뒤로가기한번만누르면계속홈화면만나온다거나옷을색상별로필터링해서보려했는데색상필터링버튼만있고실제로는전혀필터링되지않고요또다른사람이대여중인옷은대여든구매든가격확인이아예불가능합니다저번달에월정액한번결제해서잘쓰긴했는데이번달에자동결제되어서깜짝놀랐네요결국11상담까지가서결제취소해달라고했긴했는데아직응답도없습니다어떻게운영을하는건지모르겠네요앱이너무불친전체리뷰,"['정액', '음달', '결제', '정액', '방법', '가기', '번만', '계속', '색상', '별로', '필터', '색상', '필터', '버튼', '실제', '전혀', '필터', '사람', '이대', '여중', '대여', '구매', '가격', '확인', '아예', '저번', '정액', '한번', '결제', '자동', '결제', '깜짝', '상담', '결제', '취소', '응답', '운영', '불친', '전체', '리뷰']"
52,"3개월차 유저입니다 모바일 서비스기획/개발만 개선되면 정말 좋은서비스일듯. 비즈니스 모델자체는 너무 훌륭하네요. Ux와 ui가 이 좋은 서비스를 못받쳐주는게 너무나 아쉽습니다. 앱사용하는게 너무나 힘들어요 정말 오랜만에 이렇게 느리고 불편한앱을 열심히 써보네요.(전단계 페이지 못보는건 진짜 서비스기획자의 센스를 의심하고싶네요 기본아닌가요ㅠㅠ).앞서 혹평주신 분들 심정 충분히 이해갑니다만 사업자체의 매력에 3점 남깁니다. 제발좀 개선해주세요. 헤비유저로서의 애정어린 부정의견은 양해부탁드려요. 상품,마케팅,cs,비즈니스전략은 만족합니다...
전체 리뷰",3개월차유저입니다모바일서비스기획개발만개선되면정말좋은서비스일듯비즈니스모델자체는너무훌륭하네요Ux와ui가이좋은서비스를못받쳐주는게너무나아쉽습니다앱사용하는게너무나힘들어요정말오랜만에이렇게느리고불편한앱을열심히써보네요전단계페이지못보는건진짜서비스기획자의센스를의심하고싶네요기본아닌가요ㅠㅠ앞서혹평주신분들심정충분히이해갑니다만사업자체의매력에3점남깁니다제발좀개선해주세요헤비유저로서의애정어린부정의견은양해부탁드려요상품마케팅cs비즈니스전략은만족합니다전체리뷰,"['개월차', '유저', '모바일', '서비스', '기획', '개발', '개선', '정말', '서비스', '비즈니스모델', '자체', '서비스', '사용', '정말', '전단', '페이지', '진짜', '서비스', '기획', '센스', '의심', '기본', '앞서', '혹평', '주신', '심정', '사업', '자체', '매력', '제발', '헤비', '유저', '로서', '애정', '부정', '의견', '양해', '상품', '마케팅', '비즈니스', '전략', '전체', '리뷰']"
53,옷사서 입다보면 지겨운데 여러 의류를 입어볼수 있는 특이한 컨셉! 멤버십구입했는데 이용횟수 더 다양하게 해주시면 좀더 자주 이용할듯ㅋㅋㅋㅋ,옷사서입다보면지겨운데여러의류를입어볼수있는특이한컨셉멤버십구입했는데이용횟수더다양하게해주시면좀더자주이용할듯ㅋㅋㅋㅋ,"['입다', '의류', '컨셉', '멤버십', '구입', '이용', '횟수', '해주시', '좀더', '자주']"
54,몇개월째 이용중인데 옷을 정말 안사게되었어욤 사이즈 실패한게 몇번있는데 제 사이즈를 알고 나니까 사이즈 잘못고르는 일도 없네욤!!! 좋아욤,몇개월째이용중인데옷을정말안사게되었어욤사이즈실패한게몇번있는데제사이즈를알고나니까사이즈잘못고르는일도없네욤좋아욤,"['몇개', '이용', '정말', '사이즈', '몇번', '제사', '이즈', '사이즈', '잘못', '일도', '욤좋아욤']"
55,"가방을 하나 옷장에 맡기려고 보냈었는데.. 통과가 안 되어서 다시 반품되어 왔어요. 그런데 가방이 보냈을 때보다 훨씬 망가진 상태로 왔어요. 배송 중에 이런 건지 손잡이 부분 사이사이의 매듭이 다 벌어져있고 말끔했던 표면이 지저분해져있고.. 진짜 너덜너덜해서 돌아왔다는 느낌입니다. 애초에 직접 수거하겠다며 보내준 봉투가.. 그냥 검정 봉투죠? 솔직히 가방은 이런데 넣을 수 없는데.. 수거용 봉투가 너무 허술합니다. 박스나 가방 같은 것을 보내줄 거라 생각했는데.. 그런 부분에서 너무 실망했고. 중고로 팔 수도 있었던 가방을 괜히 여...
전체 리뷰",가방을하나옷장에맡기려고보냈었는데통과가안되어서다시반품되어왔어요그런데가방이보냈을때보다훨씬망가진상태로왔어요배송중에이런건지손잡이부분사이사이의매듭이다벌어져있고말끔했던표면이지저분해져있고진짜너덜너덜해서돌아왔다는느낌입니다애초에직접수거하겠다며보내준봉투가그냥검정봉투죠솔직히가방은이런데넣을수없는데수거용봉투가너무허술합니다박스나가방같은것을보내줄거라생각했는데그런부분에서너무실망했고중고로팔수도있었던가방을괜히여전체리뷰,"['가방', '옷장', '통과', '다시', '반품', '가방', '상태', '배송', '손잡이', '부분', '사이사이', '매듭', '표면', '진짜', '느낌', '애초', '직접', '수거', '봉투', '그냥', '검정', '봉투', '가방', '봉투', '박스', '가방', '생각', '부분', '중고', '가방', '전체', '리뷰']"
56,앱이 너무 느려서 뭘 볼 수가 없네요. 메인페이지 로딩도 느리고 옷 더보려고 카테고리 페이지로 넘어가면 거기서 멈추다시피 합니다. BM은 참 좋은데 ux가 엉망이라 앱 받아놓고 근 1년째 한번을 제대로 못썼네요. 리텐션이 중요한 비즈니스인만큼 빨리 개선됐음 합니다.,앱이너무느려서뭘볼수가없네요메인페이지로딩도느리고옷더보려고카테고리페이지로넘어가면거기서멈추다시피합니다BM은참좋은데ux가엉망이라앱받아놓고근1년째한번을제대로못썼네요리텐션이중요한비즈니스인만큼빨리개선됐음합니다,"['메인', '페이지', '로딩', '더보', '려고', '카테고리', '페이지', '거기', '엉망', '고근']"
57,일단 검색창에 검색이 잘 안됩니다... 한글로 써도 영어로 써도 대문자로 써봐도 제대로 안나오는게 너무 많아서 일일이 클릭을 해봐야한다는 점 불편합니다. 회원가입시 페북과 카톡 로그인 둘다 안되더라구요. 게다가 닉네임 겹친다고 뜨길래 닉네임만 바꿔야지 했는데 전체 창 싹 날라가구요.. 앱이 고칠게 진심 많습니다..,일단검색창에검색이잘안됩니다한글로써도영어로써도대문자로써봐도제대로안나오는게너무많아서일일이클릭을해봐야한다는점불편합니다회원가입시페북과카톡로그인둘다안되더라구요게다가닉네임겹친다고뜨길래닉네임만바꿔야지했는데전체창싹날라가구요앱이고칠게진심많습니다,"['검색', '검색', '한글', '영어', '대문자', '도제', '안나', '일일이', '클릭', '회원', '입시', '페북', '카톡', '로그인', '닉네임', '닉네임', '전체', '창싹', '진심']"
58,"사이즈 관련 개선 요청드립니다 옷 디자인에 따라 작은 사이즈여도 루즈한 핏으로 나왔거나 큰사이즈여도 핏하게 나온 옷일 수 도있는데 클로젯쉐어에 업로드된 의상들을 보면 따로 품을재서 자체적 기준에 따라 사이즈를 정하고 있는것 같은데, 옷을 고르는데 혼란을 주고 객관적이지 않은 지표로 보입니다. 브랜드에서 측정한 사이즈로 개선 요청드립니다",사이즈관련개선요청드립니다옷디자인에따라작은사이즈여도루즈한핏으로나왔거나큰사이즈여도핏하게나온옷일수도있는데클로젯쉐어에업로드된의상들을보면따로품을재서자체적기준에따라사이즈를정하고있는것같은데옷을고르는데혼란을주고객관적이지않은지표로보입니다브랜드에서측정한사이즈로개선요청드립니다,"['관련', '개선', '요청', '디자인', '사이즈', '루즈', '사이즈', '도핏', '일수', '쉐어', '업로드', '의상', '자체', '기준', '사이즈', '혼란', '객관', '지표', '브랜드', '측정', '사이즈', '개선', '요청']"
59,"최악임. 옷 검수기준에 객관성이 없고, 반려사유는 요구해야 알려줌. 고객센터 연락이 잘 안됨. 유선창구는 아예 열려있지도 않음. 고객응대 최악. 이 앱에는 절대 한푼도 안쓸것임. 셰어링 거절되어 반려되는 옷들도 일주일 넘게 갖고 있다가 돌려줌.",최악임옷검수기준에객관성이없고반려사유는요구해야알려줌고객센터연락이잘안됨유선창구는아예열려있지도않음고객응대최악이앱에는절대한푼도안쓸것임셰어링거절되어반려되는옷들도일주일넘게갖고있다가돌려줌,"['최악', '임옷', '검수', '기준', '객관성', '반려', '사유', '요구', '고객', '센터', '연락', '유선', '창구', '아예', '고객', '응대', '최악', '절대', '도안', '셰어', '거절', '반려', '일주일']"
60,제발 앱/사이트 속도 좀 개선 해주세요 ㅠ_ㅠ 몇 개월 전에 취소했다 재구독 하려고 들어왔는데 아직까지도 속도 개선이 안돼있네요. 서비스가 좋아서웬만하면 쓰고 싶은데 이 앱만 열었다하면 스트레스를 너~무 많이 받아서 그냥 재결제 포기했어요ㅠㅠ 진짜 지금 속도로는 도저히 속터져서 이용 불가 ㅠㅠ 다른 비즈니스 우선순위가 있으니까 반영을 안하시는 것이겠지만.. 저같이 속도때문에 이용 안하는 고객들 꽤 있을테니 꼭 고려해주세요... 속도만 개선되면 다시 결제할테니 제발 개선좀 부탁드립니다ㅠㅠ,제발앱사이트속도좀개선해주세요ㅠㅠ몇개월전에취소했다재구독하려고들어왔는데아직까지도속도개선이안돼있네요서비스가좋아서웬만하면쓰고싶은데이앱만열었다하면스트레스를너무많이받아서그냥재결제포기했어요ㅠㅠ진짜지금속도로는도저히속터져서이용불가ㅠㅠ다른비즈니스우선순위가있으니까반영을안하시는것이겠지만저같이속도때문에이용안하는고객들꽤있을테니꼭고려해주세요속도만개선되면다시결제할테니제발개선좀부탁드립니다ㅠㅠ,"['제발', '사이트', '속도', '몇개', '월전', '취소', '속도', '개선', '이안', '서비스', '스트레스', '그냥', '결제', '포기', '진짜', '지금', '속도', '도저히', '이용', '불가', '비즈니스', '순위', '반영', '속도', '때문', '이용', '고객', '고려', '속도', '개선', '결제', '제발', '개선']"
61,월이용권 구매하여 사용하고 있는데 앱이 너무 불안정해서 정말 짜증나요 상품을 보면 페이지를 뒤로 누르는게 너무 당연한데 어떻게 된 앱인지 뒤로 두어번 누르면 아무키도 안먹혀서 결국 닫고 새로 실행해야해요 뭐하나 보려면 앱 종료하고 다시 켜기를 진짜 거짓말안하고 수십번합니다 개선이 너무 시급해보이네요,월이용권구매하여사용하고있는데앱이너무불안정해서정말짜증나요상품을보면페이지를뒤로누르는게너무당연한데어떻게된앱인지뒤로두어번누르면아무키도안먹혀서결국닫고새로실행해야해요뭐하나보려면앱종료하고다시켜기를진짜거짓말안하고수십번합니다개선이너무시급해보이네요,"['이용권', '구매', '여사', '정말', '상품', '페이지', '어번', '아무', '도안', '행해', '종료', '다시', '진짜', '거짓말', '수십', '개선', '보이']"
62,인터넷으로 항상 옷을 사입을수있다고만 생각했는데 대여해서 입을수있어서 너무 신기했는데 너무 좋아요! 옷도 고급스러워 보이고 옷도 종류별로 편하게 볼수 있게 정리되어 있어 불편감 없이 쇼핑할수 있어 만족스러워요~~!,인터넷으로항상옷을사입을수있다고만생각했는데대여해서입을수있어서너무신기했는데너무좋아요옷도고급스러워보이고옷도종류별로편하게볼수있게정리되어있어불편감없이쇼핑할수있어만족스러워요,"['인터넷', '항상', '을사', '생각', '여해', '보이', '종류', '별로', '정리', '불편', '쇼핑']"
63,다 좋은데 너무너무너무 너무어주어주 느림 답답해서 옷을 고르질 못하겠음 진짜 이 느린게 젤 큰 단점,다좋은데너무너무너무너무어주어주느림답답해서옷을고르질못하겠음진짜이느린게젤큰단점,"['무어', '진짜', '게젤', '단점']"
64,"이미지가 많고 초기페이지 무거워 속도이슈있음 추천인 링크복사로 추천 버그있음 소팅 후에 상품상세보기 하고나서 뒤로돌아가면 소팅풀려있음 문의를 하면 담당자가 바뀌고 바뀔때마다 다시 처음부터 설명해야함 어플로는 가능한 기능이 극히 제한적으로, 별도문의가 필요한 부분이 다수있음",이미지가많고초기페이지무거워속도이슈있음추천인링크복사로추천버그있음소팅후에상품상세보기하고나서뒤로돌아가면소팅풀려있음문의를하면담당자가바뀌고바뀔때마다다시처음부터설명해야함어플로는가능한기능이극히제한적으로별도문의가필요한부분이다수있음,"['이미지', '초기', '페이지', '무거워', '속도', '이슈', '추천', '링크', '복사', '추천', '버그', '음소', '팅후', '상품', '상세', '보기', '문의', '담당자', '다시', '처음', '설명', '어플', '기능', '제한', '별도', '문의', '부분']"
65,어플 안열려요ㅡㅡ,어플안열려요ㅡㅡ,['어플']
66,"합리적이긴 하나 한번에 4벌 빌릴 수 있다 해놓고 외투는 두벌로 치는 게 좀 양아치다. 아직 셰어링을 하는 사람이 그렇게 많아보이진않는 이유가 옷의 종류 이쁜 거 진짜 많다고는 할 수 없어서고 그럼에도 이쁜 옷들이 있어서이용할 가치 정도는 있다 또 여러벌 구경 후 선택해야하는데 새창에서 열기도 안되고 위시리스트의 경우 카테고리설정해놔도 하나 클릭 후 뒤로가기 누르면 설정이 다시 초기화 되있어서 불편하다 또 검색결과를 믿을수가 없는게 검색으로 안나오는것들도 있고 매번 못봤던 옷을 발견 세탁 안해도 돼서 편하다 pc고 어플이고 오류자주...
전체 리뷰",합리적이긴하나한번에4벌빌릴수있다해놓고외투는두벌로치는게좀양아치다아직셰어링을하는사람이그렇게많아보이진않는이유가옷의종류이쁜거진짜많다고는할수없어서고그럼에도이쁜옷들이있어서이용할가치정도는있다또여러벌구경후선택해야하는데새창에서열기도안되고위시리스트의경우카테고리설정해놔도하나클릭후뒤로가기누르면설정이다시초기화되있어서불편하다또검색결과를믿을수가없는게검색으로안나오는것들도있고매번못봤던옷을발견세탁안해도돼서편하다pc고어플이고오류자주전체리뷰,"['합리', '한번', '외투', '아치', '셰어', '사람', '이유', '종류', '진짜', '서고', '이용', '정도', '여러', '경후', '선택', '새창', '열기', '위시', '리스트', '경우', '카테고리', '설정', '클릭', '후뒤', '가기', '설정', '시초', '기화', '검색', '결과', '검색', '안나', '발견', '세탁', '안해', '어플', '오류', '자주', '전체', '리뷰']"
67,원하는 옷 스타일을 보기 편하게 분류되어 있어서 정말 편리한 앱이에요! 다른 스타일 관련 앱들보다는 가격이 나가는 편이기는 한데 그만큼 옷이 예뻐서 좋은것 같아요~ 이앱 좋네여ㅎㅎ,원하는옷스타일을보기편하게분류되어있어서정말편리한앱이에요다른스타일관련앱들보다는가격이나가는편이기는한데그만큼옷이예뻐서좋은것같아요이앱좋네여ㅎㅎ,"['스타일', '보기', '분류', '정말', '스타일', '관련', '가격', '편이']"
68,가격이 좀 있는데 사용자가 끊임 없이 대여 가능한 옷을 찾아야 해서 너무 피곤 하더군요. 이쁜 옷은 모두 대여 중.,가격이좀있는데사용자가끊임없이대여가능한옷을찾아야해서너무피곤하더군요이쁜옷은모두대여중,"['가격', '사용자', '가능', '대여']"
69,원하는 스타일의 옷들이 종류별로 구비되어 있는거 같아요~ 앱 통해서 구매도 해서 입어보고 스타일링도 비교해보고 덕분에 페션센스가 좀 늘은거 같네요.,원하는스타일의옷들이종류별로구비되어있는거같아요앱통해서구매도해서입어보고스타일링도비교해보고덕분에페션센스가좀늘은거같네요,"['스타일', '종류', '별로', '구비', '통해', '구매', '도해', '스타', '일링', '비교', '덕분', '에페', '센스', '좀늘']"
70,옷을 보낸지가 언제인데 아직도 검수 대기중..... 한달 다 되어가네요 안 올릴거면 빨리 돌려주기라도 하든가 이건 계절 다 지나서 어디 중고로 내놓지도 못하겠고 도대체 직원이 몇이기에 이렇게 일이 느린지 모르겠습니다,옷을보낸지가언제인데아직도검수대기중한달다되어가네요안올릴거면빨리돌려주기라도하든가이건계절다지나서어디중고로내놓지도못하겠고도대체직원이몇이기에이렇게일이느린지모르겠습니다,"['검수', '대기', '어가', '요안', '계절', '다지', '중고', '대체', '직원', '이기', '일이']"
71,오류가 너무 심하네요..회원가입 할라는데 페이지 못찾는다고 나오고 카카오계정도 이미있다고 경고문계속 뜨고 서비스 하시기전에 앱부터 제대로 만들어주세요.,오류가너무심하네요회원가입할라는데페이지못찾는다고나오고카카오계정도이미있다고경고문계속뜨고서비스하시기전에앱부터제대로만들어주세요,"['오류', '회원', '가입', '페이지', '카카오', '정도', '고경', '고문', '계속', '서비스', '기전', '제대로']"
72,옷 빌리는곳 찾아보고 있었는데 이렇게 좋은앱을 이제야 알았다니 ㅠㅠ 진짜 너무 좋아요 강추!! 빌리는법도 편리하고 가격도 괜찮고 너무 좋은것같아요~ㅠㅠ,옷빌리는곳찾아보고있었는데이렇게좋은앱을이제야알았다니ㅠㅠ진짜너무좋아요강추빌리는법도편리하고가격도괜찮고너무좋은것같아요ㅠㅠ,"['이제야', '진짜', '요강', '법도', '가격']"
73,명품을 싼값에 직접 얼굴 대면 하지 않고 빌릴수 있어서 좋네요... 거지꼴로 가면 안빌려 줄거 같은데.. 여기는 안따져서 좋네요..,명품을싼값에직접얼굴대면하지않고빌릴수있어서좋네요거지꼴로가면안빌려줄거같은데여기는안따져서좋네요,"['명품', '싼값', '직접', '얼굴', '대면', '거지', '가면']"
74,아예안뜸 홈페이지도 안떠서 앱설치했는데 앱도 처음에만 보이다 회원가입하고 다시들어오니 안떠요.. 매번 이러는거면 이용권 구매 해도될지 심각하게 고민됩니다,아예안뜸홈페이지도안떠서앱설치했는데앱도처음에만보이다회원가입하고다시들어오니안떠요매번이러는거면이용권구매해도될지심각하게고민됩니다,"['아예', '홈페이지', '도안', '설치', '처음', '보이', '회원', '가입', '다시', '이용권', '구매', '해도', '고민']"
75,앱이 정말 사용하기 불편해요. 느리고 앱 사용 중 다른 앱 갔다가 다시 클로젯쉐어로 오면 메인화면으로 초기화됩니다.,앱이정말사용하기불편해요느리고앱사용중다른앱갔다가다시클로젯쉐어로오면메인화면으로초기화됩니다,"['정말', '사용', '사용', '다시', '쉐어', '메인', '초기']"
76,어플 너무 버벅거리고 느립니다 개선좀 해주세요,어플너무버벅거리고느립니다개선좀해주세요,"['어플', '버벅', '거리', '개선']"
77,앱 가입하고 결제 후 취소 하려는데 취소가 카톡과 고객센터로만 되네요. 취소가 어려워도 앱으로 안되는 건 처음이네요 다신 쓰고 싶지 않아요,앱가입하고결제후취소하려는데취소가카톡과고객센터로만되네요취소가어려워도앱으로안되는건처음이네요다신쓰고싶지않아요,"['가입', '결제', '취소', '취소', '카톡', '고객', '센터', '로만', '취소', '처음']"
78,옷도 사이즈별로 다양하게 없고.. 이쁜 옷 있으면 다 S이고.. M도 잘 없어요.. 있어도 대여중. 고객서비스도 부실.. 완전 비추합니다..,옷도사이즈별로다양하게없고이쁜옷있으면다S이고M도잘없어요있어도대여중고객서비스도부실완전비추합니다,"['별로', '대여', '고객', '서비스', '부실', '완전']"
79,66사이즈 의류만 따로 모아서 볼 수 있어서 좋았러료 브랜드도 많고 일상복부터 롱드레스까지 선택폭 넓어서 좋았네요 !,66사이즈의류만따로모아서볼수있어서좋았러료브랜드도많고일상복부터롱드레스까지선택폭넓어서좋았네요,"['의류', '브랜드', '일상', '드레스', '선택']"
80,좋은 옷들도 다양하게 많고 패션에 도움되는 글도 많은거 같아요 옷에 관심이 많으니 안좋을 수 밖에 없는 앱,좋은옷들도다양하게많고패션에도움되는글도많은거같아요옷에관심이많으니안좋을수밖에없는앱,"['패션', '도움', '관심']"
81,앱 사용자인데요... 사이트에 들어가지질 않아서 삭제하고 다시 깔았는데도 여전히 마찬가지이네요 ㅠㅠ 댓글보니 며칠째 이 상황인 모양인데 사용자들에게 설명은 있어야하지 않나요???,앱사용자인데요사이트에들어가지질않아서삭제하고다시깔았는데도여전히마찬가지이네요ㅠㅠ댓글보니며칠째이상황인모양인데사용자들에게설명은있어야하지않나요,"['사용자', '사이트', '삭제', '다시', '마찬가지', '댓글', '며칠', '황인모', '사용자', '설명']"
82,지하철 광고보구 가입해서 렌트 몆번했는데요 상태도 좋구 세탁하지 않고 반납해서 좋더라구요^^ 택배비 무료인건 비밀ㅋ..셰어? 해보니 대여나갈때마다 적립금이 매일 쌓이더라구요..좋은 시스템 인듯 합니다 전 만족해요..감사합니다 승승장구하세요^^,지하철광고보구가입해서렌트몆번했는데요상태도좋구세탁하지않고반납해서좋더라구요택배비무료인건비밀ㅋ셰어해보니대여나갈때마다적립금이매일쌓이더라구요좋은시스템인듯합니다전만족해요감사합니다승승장구하세요,"['지하철', '광고', '보구', '가입', '렌트', '상태', '구세', '반납', '택배', '무료', '인건비', '셰어', '대여', '적립금', '매일', '시스템', '승승장구']"
83,빨리 환불해주세요 왜 50프로 쿠폰선택했는데 할인없이 결제가 되나요 1대1문의도 에러나고... 이메일 드렸으니 환불해주세요,빨리환불해주세요왜50프로쿠폰선택했는데할인없이결제가되나요1대1문의도에러나고이메일드렸으니환불해주세요,"['환불', '프로', '쿠폰', '선택', '할인', '결제', '의도', '에러', '이메일', '환불']"
84,갑자기 마케팅동의 안하면 사용할수가 없게 팝업이 계속 뜨는데 너무 짜증나서 안쓰고 싶어졌어요,갑자기마케팅동의안하면사용할수가없게팝업이계속뜨는데너무짜증나서안쓰고싶어졌어요,"['갑자기', '마케팅', '의안', '팝업', '계속']"
85,처음으로 사용하려고 어플깔았는데 너무 느리고 렉걸리고이래서 시작도못하고 뭘 할수가없어요..,처음으로사용하려고어플깔았는데너무느리고렉걸리고이래서시작도못하고뭘할수가없어요,"['처음', '사용', '려고', '어플', '시작']"
86,가입하니까 있는 아이디라 그러고 로그인 하려니까 존재하지 않는 아이디라고 나오는데 도대체 어떻게 해야 이용 가능하죠,가입하니까있는아이디라그러고로그인하려니까존재하지않는아이디라고나오는데도대체어떻게해야이용가능하죠,"['가입', '아이디', '로그', '존재', '아이디', '대체']"
87,나만이런가..화면이..왜이래?...1시간째..어플 이상한거같은데..,나만이런가화면이왜이래1시간째어플이상한거같은데,['런가']
88,업데이트 된 것 같은데 소셜로그인 기능이 아예 안먹습니다 계속 첫화면으로 돌아와요..피드백 부탁드립니다,업데이트된것같은데소셜로그인기능이아예안먹습니다계속첫화면으로돌아와요피드백부탁드립니다,"['업데이트', '소셜', '로그인', '기능', '아예', '계속', '피드백']"
89,세어 할때는 잘 생각하고 브렌드 있다고 내면 안되요. 외국 것은 잘 모르는 거 같고 뭘 기준으로 선별 하는지 불분명 해요. 조금 씩 보내는게 좋겠어요. 전 다시는 선택 안 합니다.,세어할때는잘생각하고브렌드있다고내면안되요외국것은잘모르는거같고뭘기준으로선별하는지불분명해요조금씩보내는게좋겠어요전다시는선택안합니다,"['생각', '브렌', '외국', '기준', '지불', '요전', '선택']"
90,어플 너무 느리고... 자꾸 튕깁니다,어플너무느리고자꾸튕깁니다,"['어플', '자꾸']"
91,이용하기 편리하고 가격 부담이 있는 써볼수 있어서 좋아요~~,이용하기편리하고가격부담이있는써볼수있어서좋아요,"['이용', '가격', '부담']"
92,너무 느려요 답답해요ㅠㅠㅠ 볼려고 해도 볼 수 가 없네요 해결해주세요,너무느려요답답해요ㅠㅠㅠ볼려고해도볼수가없네요해결해주세요,"['해도', '해결']"
93,도대체 왜 자꾸 앱이 중지되는거죠? 지웠다 깔아도 그대로네요. 짜증..,도대체왜자꾸앱이중지되는거죠지웠다깔아도그대로네요짜증,"['도대체', '자꾸', '중지', '그대로', '짜증']"
94,404... 어떻게 로그인하자마자 404... 이게 유일한 매장이잖아요.... 오마이갓...,404어떻게로그인하자마자404이게유일한매장이잖아요오마이갓,"['게로', '인하', '매장', '오마이갓']"
